respid,y,t,w,yborn,age_1990,e_hat,m1_hat,m0_hat,psi_aipw,cate_hat
57,0,0,1.2038247711023995,1952.0,38.0,0.2361541696674622,0.14469126712242825,0.0332388440913609,0.1549675445011819,0.15147869544950812
60,0,1,0.5408545025487828,1993.0,-3.0,0.15402281731140932,0.23080478721628633,0.05829266216569432,-1.3259982336427971,0.09075314278379217
61,0,0,1.2524284086434012,2001.0,-11.0,0.1700294711263761,0.07331622168623607,0.04887665584269687,0.08332919401988992,0.07396009719878968
63,1,1,0.5011444524580629,1987.0,3.0,0.15768477511434087,0.28393352708802005,0.17456873987915433,4.65049104618183,0.1942790132730006
64,0,0,1.2524284086434012,2003.0,-13.0,0.16203634292328664,0.09544076306717503,0.019510949770470343,0.09921357937139993,0.12128424616061868
66,0,0,1.2524284086434012,1948.0,42.0,0.20720769382852183,0.1681883796780236,0.11119448229319628,0.19725066000424826,0.08275679218046114
68,0,0,1.2075648348440184,1974.0,16.0,0.17302799201867616,0.298120526556412,0.14762699469094664,0.32900863668903835,0.2487959134682519
69,0,1,0.5408545025487828,1958.0,32.0,0.22343125558806584,0.12720047158272962,0.027850147740572637,-0.4699544103945144,0.06757813783325343
70,0,1,0.5445972257083529,1982.0,8.0,0.43261819155652514,0.17408963986775602,0.16881981828247505,-0.3971396084051585,0.05576139307265936
71,0,1,0.5011444524580629,1964.0,26.0,0.18418943342934374,0.3301101475923437,0.1347046242061785,-1.5968262102489572,0.23791213682391438
72,0,0,1.2075648348440184,1994.0,-4.0,0.17768442804129722,0.07108914790422803,0.11320148726827277,0.09554951592422872,-0.04007377351031572
74,0,0,1.2524284086434012,1993.0,-3.0,0.17879977226052704,0.07110780251540842,0.04780129260839575,0.08151556903011947,0.005188084654934217
75,0,0,1.2075648348440184,1941.0,49.0,0.21291815648682558,0.139777669093981,0.016137193863785048,0.14414303668143713,0.05436376961978214
76,0,1,0.5011444524580629,1980.0,10.0,0.19507607961777101,0.14274357875116284,0.09808570780002804,-0.6870749946613603,0.08709347109098774
78,0,0,1.2038247711023995,1992.0,-2.0,0.14858151741382394,0.21835119140319043,0.08190052329755236,0.23264369770581805,0.12029301764032406
79,1,1,0.5011444524580629,1959.0,31.0,0.1901212210171382,0.3007737931212406,0.02759450452292164,3.9509707688861964,0.26613220975213553
80,0,1,0.5011444524580629,1979.0,11.0,0.1963035934934785,0.1485228338126121,0.08746612196185173,-0.6955409192442927,0.09629897350773088
81,1,0,1.2038247711023995,1981.0,9.0,0.19490160455729066,0.12427421281598645,0.09431552745041043,-1.0949776921955416,0.026173107848761226
82,0,0,1.2524284086434012,1961.0,29.0,0.1885102335138776,0.2573631078606681,0.05196649761076509,0.2694349995887953,0.16996445742416827
83,0,0,1.2038247711023995,1973.0,17.0,0.20293675918303014,0.18789320873501314,0.03740956761967957,0.19741789388721614,-0.0015712205600030642
85,0,0,1.2075648348440184,1983.0,7.0,0.19223022558280625,0.11701414635217407,0.12712821193354085,0.14726767357229725,0.024755889361206256
86,0,0,1.2038247711023995,1946.0,44.0,0.21016554422686615,0.11626895259152219,0.043585965092437465,0.12786665893030014,0.019016736748539487
87,1,0,1.2524284086434012,1969.0,21.0,0.17923584935902992,0.3547965703219418,0.13182371004617457,-0.8347929903353117,0.28754662582278223
88,0,0,1.2524284086434012,1950.0,40.0,0.23919125544363326,0.1666984960309251,0.04120549430582472,0.17965312356998261,0.21494621402123965
89,0,0,1.2038247711023995,1952.0,38.0,0.2367969095808824,0.24246359044891713,0.03750494639209639,0.2541001463160691,0.15147869544950812
90,1,0,1.2075648348440184,1983.0,7.0,0.16295587367623762,0.3792583390861996,0.11677094055281349,-0.7926888241662046,0.17653426267133135
92,0,0,1.2075648348440184,1997.0,-7.0,0.17509491104096422,0.03487003866761279,0.11459699768128294,0.0591944747550258,-0.07035687144324909
93,1,0,1.2524284086434012,1979.0,11.0,0.16699139904568386,0.36275994186618576,0.12017952812733901,-0.8136157298120312,0.19082096224850598
97,0,0,1.2524284086434012,1966.0,24.0,0.18275488264113818,0.3435226585962777,0.06329698639823618,0.3576773266084058,0.2807537978668807
98,0,1,0.5011444524580629,1989.0,1.0,0.18438381048967414,0.0851818869994752,0.07080585066559271,-0.4476053424718536,-0.09558049938994172
99,0,1,0.5445972257083529,1972.0,18.0,0.20442415766014183,0.18799411611536604,0.05983935794117211,-0.7914729329322017,-0.006685624027099226
101,0,1,0.5445972257083529,1989.0,1.0,0.1802333486975318,0.08952312821022444,0.13080763536586681,-0.5379912978642944,-0.09558049938994172
