respid,pv01,wghtpew,german,eastwest,dg03,yborn,sex,educ,inc,land,dg10,pv01_raw,y_afd_any,y_afd_vote,is_eligible_party_answer,is_voter_intent_sample
4384,4,1.2075648348440184,3,1,4,1997,2,5,2000,60,6,4,0,0,1,1
4385,6,1.2524284086434012,2,1,4,1998,2,5,1200,90,1,6,0,0,1,1
4386,-42,0.5445972257083529,1,2,1,1980,1,2,1875,140,15,-42,,,0,0
4387,-7,1.2075648348440184,1,1,4,2001,1,3,-9,50,8,-7,,,0,0
4388,91,1.2075648348440184,1,1,4,2003,2,5,-50,50,8,91,0,,1,0
4389,-7,0.5445972257083529,1,2,1,1969,1,3,1188,160,17,-7,,,0,0
4390,-50,1.2524284086434012,3,1,-10,1990,2,2,800,50,95,-50,,,0,0
4391,1,1.2038247711023997,1,1,4,1965,1,5,4750,80,1,1,0,0,1,1
4392,42,1.2038247711023997,1,1,-10,1955,1,4,813,80,95,42,1,1,1,1
4393,-8,1.2075648348440184,1,1,4,1964,2,5,1875,80,1,-8,,,0,0
4394,42,1.2038247711023997,1,1,2,1984,1,3,3250,30,16,42,1,1,1,1
4395,1,1.2524284086434012,1,1,4,1959,2,5,2500,50,8,1,0,0,1,1
4396,90,1.2524284086434012,1,1,4,2004,1,7,-50,80,1,90,0,0,1,1
4397,1,1.2038247711023997,1,1,4,1954,1,3,1875,30,7,1,0,0,1,1
4398,-8,0.5011444524580629,1,2,1,1945,2,3,1300,112,12,-8,,,0,0
4399,42,1.2038247711023997,1,1,-10,1968,2,3,2125,90,95,42,1,1,1,1
4400,1,0.5011444524580629,1,2,3,1983,1,5,3600,112,4,1,0,0,1,1
4401,42,1.2075648348440184,1,1,4,1973,1,3,4750,50,8,42,1,1,1,1
4402,1,0.5011444524580629,1,2,1,1962,2,4,2300,120,12,1,0,0,1,1
4403,1,1.2075648348440184,1,1,4,1984,2,5,6300,50,8,1,0,0,1,1
4404,4,1.2075648348440184,1,1,4,1968,1,3,4250,80,11,4,0,0,1,1
4405,-8,1.2038247711023997,1,1,4,1951,2,2,1625,50,8,-8,,,0,0
4406,4,0.5445972257083529,1,2,1,1978,1,5,2875,160,17,4,0,0,1,1
4407,-8,0.5445972257083529,1,2,1,2001,2,5,1188,120,12,-8,,,0,0
4408,4,0.5011444524580629,1,2,1,1962,1,3,3300,140,15,4,0,0,1,1
4409,2,1.2038247711023997,1,1,4,1968,2,4,2625,70,9,2,0,0,1,1
4410,4,1.2038247711023997,1,1,4,1985,1,5,3750,50,8,4,0,0,1,1
4411,91,1.2038247711023997,1,1,4,1992,1,7,938,90,2,91,0,,1,0
4412,-50,1.2524284086434012,3,1,-10,1994,2,3,-50,50,95,-50,,,0,0
4413,1,0.5445972257083529,1,2,1,1956,1,3,-7,112,12,1,0,0,1,1
4414,90,1.2075648348440184,2,1,4,1989,2,5,3600,60,6,90,0,0,1,1
4415,6,1.2524284086434012,1,1,4,1986,2,5,1300,80,6,6,0,0,1,1
4416,2,0.5011444524580629,1,2,1,1966,2,3,2100,160,17,2,0,0,1,1
4417,-50,1.2524284086434012,3,1,4,1973,1,2,3000,50,8,-50,,,0,0
4418,42,0.5445972257083529,1,2,1,1951,1,2,1063,140,15,42,1,1,1,1
4419,3,1.2038247711023997,1,1,4,1975,1,5,11250,90,7,3,0,0,1,1
4420,-50,1.2524284086434012,3,1,4,1994,1,2,2000,50,8,-50,,,0,0
4421,-8,1.2524284086434012,1,1,4,1952,2,5,-9,80,1,-8,,,0,0
4422,4,0.5011444524580629,2,2,-10,1977,1,5,2500,112,95,4,0,0,1,1
4423,90,1.2524284086434012,1,1,4,1988,2,2,1700,90,2,90,0,0,1,1
4424,-8,1.2075648348440184,1,1,4,1980,2,5,800,50,8,-8,,,0,0
4425,2,1.2524284086434012,2,1,-10,1952,2,5,350,50,95,2,0,0,1,1
4426,4,1.2038247711023997,1,1,4,1997,1,5,450,80,1,4,0,0,1,1
4427,2,1.2038247711023997,1,1,4,1967,2,3,2875,30,7,2,0,0,1,1
4428,91,1.2524284086434012,1,1,4,2001,2,2,1670,50,8,91,0,,1,0
4429,2,0.5011444524580629,1,2,3,1974,2,5,1400,120,4,2,0,0,1,1
4430,4,1.2075648348440184,1,1,4,1967,2,3,701,80,8,4,0,0,1,1
4431,-8,1.2524284086434012,3,1,4,1993,2,1,900,70,9,-8,,,0,0
4432,2,1.2524284086434012,1,1,4,1987,2,2,1625,70,9,2,0,0,1,1
4433,6,0.5408545025487828,1,2,1,1990,2,5,3900,112,13,6,0,0,1,1
4434,42,0.5408545025487828,1,2,-10,1991,2,5,2600,112,95,42,1,1,1,1
4435,4,1.2524284086434012,1,1,4,1984,2,5,1000,60,6,4,0,0,1,1
4436,4,1.2075648348440184,1,1,2,1989,2,5,1800,50,14,4,0,0,1,1
4437,1,1.2038247711023997,1,1,4,1993,1,5,3750,80,1,1,0,0,1,1
4438,4,0.5011444524580629,1,2,1,1986,2,4,2500,150,16,4,0,0,1,1
4439,1,1.2038247711023997,1,1,4,1988,1,5,938,30,7,1,0,0,1,1
4440,4,0.5408545025487828,1,2,1,1956,2,5,1700,120,12,4,0,0,1,1
4441,-9,1.2038247711023997,1,1,4,2001,2,5,-9,80,1,-9,,,0,0
4442,1,1.2038247711023997,1,1,4,1942,2,2,-50,90,2,1,0,0,1,1
4443,90,0.5408545025487828,1,2,1,1959,1,3,563,120,12,90,0,0,1,1
4444,-8,0.5445972257083529,1,2,1,1976,2,3,3000,112,13,-8,,,0,0
4445,42,0.5011444524580629,1,2,1,1987,1,3,4000,130,14,42,1,1,1,1
4446,42,1.2038247711023997,1,1,4,1999,1,2,450,20,5,42,1,1,1,1
4447,1,0.5011444524580629,1,2,1,1981,1,5,3500,130,14,1,0,0,1,1
4448,1,1.2075648348440184,1,1,4,1966,2,3,1029,50,8,1,0,0,1,1
4449,-8,1.2038247711023997,1,1,4,2001,1,5,1100,70,9,-8,,,0,0
4450,2,0.5408545025487828,1,2,1,1942,1,3,813,140,15,2,0,0,1,1
