respid,y,t,w,yborn,age_1990,e_hat,m1_hat,m0_hat,psi_aipw,cate_hat
98,0,0,0.5011444524580629,1989.0,1.0,0.10783296642962736,0.209390853437853,0.14109753398466332,0.22644479633527487,0.036980096199093176
99,0,1,0.5445972257083529,1972.0,18.0,0.1514491247301045,0.1411829217140246,0.07110970920005281,-0.8621403078059696,-0.05614777454506949
101,0,0,0.5445972257083529,1989.0,1.0,0.11181268722128976,0.1330164299839337,0.11411920850267909,0.14738274121431078,0.036980096199093176
102,0,0,1.2038247711023995,1962.0,28.0,0.16261416984317642,0.31222267031473805,0.09065999931914961,0.3298281754431273,0.17580726368923472
103,0,0,1.2075648348440184,1942.0,48.0,0.27995862804015614,0.028199105190856603,0.009971104627997433,0.03207596127219674,0.043636211462495536
104,0,0,1.2524284086434012,1981.0,9.0,0.12250702715261909,0.16939356723067875,0.12071237109817115,0.18624625344170864,0.08046577301574868
105,1,0,0.5011444524580629,1983.0,7.0,0.09699958438183545,0.39876969450245686,0.24787105652953964,-0.6820233966814937,0.047315634348001935
106,0,1,0.5011444524580629,1979.0,11.0,0.12379137200936438,0.13505257439119914,0.0655708809726372,-1.0214875090310471,0.18469742345423568
108,0,1,1.2524284086434012,1978.0,12.0,0.12675824952254486,0.13505257439119914,0.05601408448152659,-0.9863957118081341,0.06178006420018354
109,1,0,1.2075648348440184,1982.0,8.0,0.10134065685637572,0.3056742770819254,0.2094488563826892,-0.7834751573327717,0.04770243872139411
111,0,0,1.2524284086434012,1972.0,18.0,0.12975739460999366,0.25545371130664574,0.22510920100298476,0.2890185853359909,-0.11061960534267352
114,0,0,1.2038247711023995,1936.0,54.0,0.2819250706717312,0.14593696754223853,0.04985667981294548,0.16551131473866723,0.1273963768612722
115,1,0,1.2524284086434012,1948.0,42.0,0.2579398801764126,0.07383489599264245,0.04390907467226445,-1.258502029451377,0.022249359167369073
