variable,dtype,missing_share,nunique,top_values
mi08,int64,0.0,7,"{2: 1979, -11: 1596, 1: 1426, 3: 191, -8: 26, -9: 26, -33: 2}"
mi10,int64,0.0,7,"{2: 2385, -11: 1596, 1: 745, 3: 460, -8: 31, -9: 28, -42: 1}"
fr07,int64,0.0,7,"{-11: 1647, 1: 1584, 2: 983, 3: 790, 4: 224, -9: 10, -8: 8}"
fr08,int64,0.0,7,"{-11: 1647, 1: 1378, 2: 1128, 3: 839, 4: 221, -9: 18, -8: 15}"
fr05b,int64,0.0,7,"{-11: 1647, 2: 1492, 1: 1013, 3: 774, 4: 265, -8: 37, -9: 18}"
fr10,int64,0.0,7,"{4: 1728, -11: 1647, 3: 1296, 2: 426, 1: 135, -9: 11, -8: 3}"
fr11,int64,0.0,7,"{-11: 1647, 1: 1579, 2: 1197, 3: 636, 4: 167, -8: 10, -9: 10}"
ca02,int64,0.0,7,"{1: 2649, -11: 1647, 2: 716, 3: 198, 4: 19, -9: 9, -8: 8}"
ca08,int64,0.0,7,"{1: 3215, -11: 1647, 2: 313, 3: 35, 4: 22, -9: 12, -8: 2}"
ca13,int64,0.0,7,"{4: 2540, -11: 1647, 3: 629, 1: 220, 2: 170, -9: 26, -8: 14}"
agec,int64,0.0,7,"{4: 1373, 3: 1326, 2: 1190, 1: 694, 5: 595, 6: 45, -32: 23}"
rb01,int64,0.0,7,"{5: 1970, 3: 860, 4: 739, 2: 648, 1: 637, 6: 327, -9: 65}"
rb02,int64,0.0,7,"{5: 1917, 3: 917, 2: 698, 4: 598, 1: 585, 6: 433, -9: 98}"
rb04,int64,0.0,7,"{1: 2036, 2: 1998, 3: 452, 4: 316, 5: 247, 6: 140, -9: 57}"
rb06,int64,0.0,7,"{1: 1970, 2: 1923, 3: 534, 4: 297, 5: 243, 6: 215, -9: 64}"
ra04,int64,0.0,7,"{1: 3065, 2: 1743, 3: 178, 4: 116, 5: 61, 6: 51, -9: 32}"
re02,int64,0.0,7,"{5: 2575, 4: 1239, 3: 895, 2: 344, 1: 136, -9: 55, -42: 2}"
ra20,int64,0.0,7,"{4: 3526, 3: 1074, 2: 347, -9: 128, 1: 116, -8: 52, -42: 3}"
ra21,int64,0.0,7,"{4: 3919, 3: 893, 2: 155, -9: 130, 1: 79, -8: 69, -42: 1}"
rd03,int64,0.0,7,"{-10: 5084, 1: 122, 5: 19, -41: 7, 2: 5, 4: 5, 3: 4}"
pe01,int64,0.0,7,"{-11: 1596, 2: 1486, 1: 1144, 3: 868, 4: 100, -8: 27, -9: 25}"
pe02,int64,0.0,7,"{-11: 1596, 3: 1440, 2: 1009, 4: 863, 1: 282, -9: 34, -8: 22}"
pe07,int64,0.0,7,"{-11: 1596, 2: 1549, 3: 1433, 4: 299, 1: 252, -8: 78, -9: 39}"
pe09,int64,0.0,7,"{1: 2174, -11: 1596, 2: 956, 3: 316, 4: 156, -9: 32, -8: 16}"
pa02a,int64,0.0,7,"{3: 2303, 2: 1542, 4: 663, 1: 527, 5: 190, -9: 17, -42: 4}"
im07,int64,0.0,7,"{2: 1701, -11: 1647, 1: 1267, 3: 473, 4: 107, -9: 36, -8: 15}"
im09,int64,0.0,7,"{-11: 1647, 2: 1622, 1: 952, 3: 802, 4: 178, -9: 33, -8: 12}"
im10,int64,0.0,7,"{2: 1748, -11: 1647, 1: 1619, 3: 165, -9: 33, 4: 22, -8: 12}"
im18,int64,0.0,7,"{-11: 1647, 2: 1299, 3: 1229, 1: 598, 4: 408, -9: 45, -8: 20}"
iw04,int64,0.0,7,"{1: 1835, -11: 1647, 2: 1441, 3: 242, -9: 39, 4: 27, -8: 15}"
pi02,int64,0.0,7,"{-11: 1647, 2: 1236, 3: 992, -10: 798, 1: 537, -9: 33, -41: 3}"
im27,int64,0.0,7,"{1: 2790, -11: 1647, 2: 683, 3: 56, -9: 40, 4: 25, 5: 5}"
im29,int64,0.0,7,"{-11: 1647, 5: 951, 3: 928, 4: 789, 2: 651, 1: 207, -9: 73}"
isced97,int64,0.0,7,"{5: 2283, 3: 2038, 4: 408, 2: 287, 6: 127, -32: 60, 1: 43}"
work,int64,0.0,7,"{1: 2193, 4: 1849, 2: 784, 3: 385, -9: 29, -42: 3, -41: 3}"
dw16,int64,0.0,7,"{-10: 2592, 1: 2326, 3: 207, 2: 101, -9: 9, -41: 8, -42: 3}"
hs01,int64,0.0,7,"{2: 2071, 3: 1470, 1: 864, 4: 616, 5: 188, -9: 32, -42: 5}"
rr01,int64,0.0,7,"{2: 2082, 1: 1691, 3: 1251, -50: 107, -9: 65, -8: 48, -42: 2}"
scagec,int64,0.0,7,"{-10: 2403, 5: 921, 4: 874, 3: 622, 6: 330, 2: 59, -32: 37}"
pwork,int64,0.0,7,"{-10: 4223, 1: 633, 4: 196, 2: 115, 3: 72, -9: 5, -41: 2}"
fiscd975,int64,0.0,7,"{3: 2303, 5: 1578, 2: 515, -32: 493, 4: 149, 1: 148, -10: 60}"
miscd975,int64,0.0,7,"{3: 2332, 2: 1213, 5: 864, -32: 455, 1: 201, 4: 173, -10: 8}"
hh4mstat,int64,0.0,7,"{-10: 4342, 5: 768, -9: 105, 1: 20, -41: 5, 4: 5, -33: 1}"
hh6kin,int64,0.0,7,"{-10: 5184, 3: 37, 5: 12, -9: 5, 16: 4, 4: 2, 7: 2}"
dh15,int64,0.0,7,"{11: 2038, 20: 1713, 10: 1181, -32: 195, 60: 73, 30: 43, 40: 3}"
kh1sex,int64,0.0,7,"{-10: 2948, 2: 1126, 1: 1118, -9: 44, -41: 5, -42: 4, 3: 1}"
kh2sex,int64,0.0,7,"{-10: 3816, 2: 703, 1: 697, -9: 19, -41: 5, -42: 5, 3: 1}"
kh7age,int64,0.0,7,"{-10: 5235, -32: 6, 36: 1, 49: 1, 22: 1, 27: 1, 46: 1}"
kh8yborn,int64,0.0,7,"{-10: 5236, -41: 5, 1987: 1, 2003: 1, -9: 1, 2000: 1, 1979: 1}"
gs01,int64,0.0,7,"{3: 1890, 4: 1417, 1: 1135, 2: 665, -9: 79, 5: 56, -42: 4}"
pn12,int64,0.0,7,"{2: 1702, -11: 1596, 3: 1005, 1: 688, 4: 199, -9: 50, -8: 6}"
pn13,int64,0.0,7,"{2: 1766, -11: 1596, 3: 1086, 1: 532, 4: 185, -9: 70, -8: 11}"
pn16,int64,0.0,7,"{2: 1948, -11: 1596, 3: 916, 1: 566, 4: 143, -9: 67, -8: 10}"
pr05,int64,0.0,7,"{-11: 1647, 2: 1615, 1: 892, 3: 683, 4: 162, -8: 146, -9: 101}"
pr10,int64,0.0,7,"{-11: 1647, 2: 1101, 3: 1040, 4: 647, 1: 551, -8: 135, -9: 125}"
xt13,int64,0.0,7,"{6: 2248, 5: 1984, 7: 644, 8: 218, 4: 90, -9: 51, 9: 11}"
xt10c,int64,0.0,7,"{2: 1256, 3: 1032, 4: 983, 1: 745, 5: 736, 6: 274, -32: 220}"
wghthew,float64,0.0,7,"{1.245680308806253: 1300, 1.1954020125831686: 1109, 1.2084551186903196: 968, 0.518273904301465: 663, 0.5648577671591687: 498, 0.5515898780172678: 450, 0.0: 258}"
ep01,int64,0.0,8,"{3: 2684, 2: 1338, 4: 919, 5: 158, 1: 95, -9: 41, -8: 7, -42: 4}"
ep03,int64,0.0,8,"{2: 2740, 3: 1565, 4: 460, 1: 372, 5: 77, -9: 29, -42: 2, -8: 1}"
ep04,int64,0.0,8,"{4: 2067, 3: 1836, 2: 813, 5: 438, -9: 37, 1: 34, -8: 16, -42: 5}"
ep06,int64,0.0,8,"{3: 3153, 2: 903, 4: 876, 1: 138, 5: 126, -9: 33, -8: 15, -42: 2}"
li09,int64,0.0,8,"{1: 2889, 2: 719, 3: 498, 4: 412, 5: 295, 7: 205, 6: 184, -9: 44}"
li08,int64,0.0,8,"{5: 1239, 4: 1125, 6: 936, 3: 678, 7: 567, 2: 416, 1: 260, -9: 25}"
vg01,int64,0.0,8,"{-11: 2571, 3: 1026, 2: 700, 4: 430, 1: 354, 5: 123, 6: 22, -9: 20}"
vg02,int64,0.0,8,"{-11: 2571, 5: 1231, 4: 792, 3: 291, 6: 274, 2: 55, -9: 22, 1: 10}"
vg06,int64,0.0,8,"{-11: 2571, 5: 1258, 6: 589, 4: 573, 3: 178, 2: 47, -9: 20, 1: 10}"
vg09,int64,0.0,8,"{-11: 2571, 4: 795, 3: 770, 5: 560, 2: 358, 6: 103, 1: 59, -9: 30}"
st01,int64,0.0,8,"{-11: 1647, 3: 1463, 2: 1225, 1: 865, -42: 22, -9: 12, 4: 7, -8: 5}"
mi05,int64,0.0,8,"{2: 1805, 1: 1711, -11: 1596, 3: 91, -9: 24, -8: 17, -33: 1, -42: 1}"
mi11,int64,0.0,8,"{1: 1689, -11: 1596, 2: 1588, 3: 303, -9: 35, -8: 32, -33: 2, -42: 1}"
fr03b,int64,0.0,8,"{-11: 1647, 3: 1285, 4: 1098, 2: 817, 1: 366, -9: 16, -8: 16, -42: 1}"
fr04b,int64,0.0,8,"{4: 1794, -11: 1647, 3: 1136, 2: 440, 1: 209, -8: 13, -9: 6, -42: 1}"
fr09,int64,0.0,8,"{-11: 1647, 3: 1414, 2: 935, 4: 913, 1: 317, -8: 11, -9: 8, -42: 1}"
fr12,int64,0.0,8,"{1: 2400, -11: 1647, 2: 964, 3: 163, 4: 59, -8: 8, -9: 4, -42: 1}"
ca03,int64,0.0,8,"{-11: 1647, 4: 1206, 3: 1187, 2: 667, 1: 467, -9: 37, -8: 33, -42: 2}"
ca04,int64,0.0,8,"{-11: 1647, 4: 1493, 3: 1353, 1: 360, 2: 310, -8: 43, -9: 38, -42: 2}"
ca05,int64,0.0,8,"{-11: 1647, 2: 1511, 3: 988, 1: 927, 4: 138, -9: 20, -8: 13, -42: 2}"
ca06,int64,0.0,8,"{-11: 1647, 3: 1489, 2: 1187, 1: 660, 4: 241, -9: 17, -8: 3, -42: 2}"
ca12,int64,0.0,8,"{-11: 1647, 3: 1198, 1: 1015, 2: 839, 4: 495, -8: 25, -9: 23, -42: 4}"
ca14,int64,0.0,8,"{-11: 1647, 2: 1497, 1: 1337, 3: 613, 4: 109, -9: 25, -8: 17, -42: 1}"
pn11,int64,0.0,8,"{-11: 1596, 2: 1385, 3: 890, 1: 635, 4: 418, -50: 220, -9: 100, -42: 2}"
ra01,int64,0.0,8,"{5: 2587, 4: 778, 3: 713, 2: 503, 1: 329, 6: 294, -9: 41, -42: 1}"
ra02,int64,0.0,8,"{5: 1778, 3: 1156, 2: 786, 4: 588, 1: 506, 6: 376, -9: 55, -42: 1}"
ra03,int64,0.0,8,"{1: 2571, 2: 1992, 3: 282, 4: 170, 5: 113, 6: 79, -9: 38, -42: 1}"
